,Unnamed: 0,Date,Open*,High,Low,Close**,Volume,Market Cap,name
0,0,"Oct 06, 2018",0.245137,0.247914,0.238837,0.239771,34392600,4607309123,steller
1,1,"Oct 05, 2018",0.2435,0.24762,0.240469,0.245192,38001100,4575879699,steller
2,2,"Oct 04, 2018",0.240654,0.248393,0.24002,0.244278,36170200,4522007668,steller
3,3,"Oct 03, 2018",0.247934,0.249178,0.237829,0.241136,47661800,4658807412,steller
4,4,"Oct 02, 2018",0.258257,0.259782,0.248286,0.248286,50886900,4852643880,steller
5,5,"Oct 01, 2018",0.259081,0.263545,0.253404,0.258404,67813900,4868127946,steller
6,6,"Sep 30, 2018",0.254448,0.262696,0.252677,0.259599,64864600,4781069068,steller
7,7,"Sep 29, 2018",0.25245300000000004,0.259334,0.245518,0.253908,54822100,4743584718,steller
8,8,"Sep 28, 2018",0.259997,0.262948,0.249273,0.254127,63003000,4885324977,steller
9,9,"Sep 27, 2018",0.243985,0.264678,0.243985,0.259216,99370800,4584459314,steller
10,10,"Sep 26, 2018",0.250619,0.257956,0.238515,0.244767,89889500,4709121402,steller
11,11,"Sep 25, 2018",0.258395,0.258395,0.233449,0.252306,118361000,4855095332,steller
12,12,"Sep 24, 2018",0.279833,0.282503,0.254954,0.259048,135616000,5257900306,steller
13,13,"Sep 23, 2018",0.239433,0.300275,0.238815,0.281478,317587000,4497843172,steller
14,14,"Sep 22, 2018",0.248064,0.249508,0.231003,0.239225,76614200,4659990709,steller
15,15,"Sep 21, 2018",0.233042,0.275536,0.231694,0.249211,182926000,4377795045,steller
16,16,"Sep 20, 2018",0.206568,0.241435,0.205852,0.231897,89258100,3880460135,steller
17,17,"Sep 19, 2018",0.207512,0.211158,0.199817,0.206563,48741100,3898036033,steller
18,18,"Sep 18, 2018",0.196495,0.214757,0.194385,0.208417,55982400,3690980981,steller
19,19,"Sep 17, 2018",0.206108,0.208782,0.19563,0.196827,42653700,3871542055,steller
20,20,"Sep 16, 2018",0.203086,0.208485,0.199028,0.20651,41913100,3814773200,steller
21,21,"Sep 15, 2018",0.201211,0.205633,0.200511,0.203202,37685700,3779558874,steller
22,22,"Sep 14, 2018",0.206978,0.209517,0.198855,0.201743,49018400,3887897135,steller
23,23,"Sep 13, 2018",0.197915,0.211132,0.197915,0.207806,68042900,3717594934,steller
24,24,"Sep 12, 2018",0.201214,0.207005,0.186384,0.198293,81499500,3779566996,steller
25,25,"Sep 11, 2018",0.19148,0.206932,0.185084,0.201071,77490400,3596627832,steller
26,26,"Sep 10, 2018",0.191119,0.195371,0.188329,0.190839,51759700,3589831938,steller
27,27,"Sep 09, 2018",0.194291,0.202852,0.190194,0.192781,54678800,3649423965,steller
28,28,"Sep 08, 2018",0.207994,0.211684,0.19317,0.194437,52306100,3906811887,steller
29,29,"Sep 07, 2018",0.206841,0.211473,0.200723,0.207662,60828100,3885147360,steller
0,0,"Oct 06, 2018",6622.45,6628.54,6577.8,6588.31,3259740000,114614282649,bitcoin
1,1,"Oct 05, 2018",6574.15,6623.62,6557.41,6622.48,3671500000,113767335788,bitcoin
2,2,"Oct 04, 2018",6497.91,6603.31,6497.91,6576.69,3838410000,112435991226,bitcoin
3,3,"Oct 03, 2018",6553.86,6571.46,6454.03,6502.59,3887310000,113392236466,bitcoin
4,4,"Oct 02, 2018",6593.24,6611.84,6537.9,6556.1,3979260000,114062551875,bitcoin
5,5,"Oct 01, 2018",6619.85,6653.3,6549.08,6589.62,4000970000,114509724600,bitcoin
6,6,"Sep 30, 2018",6604.71,6643.78,6566.54,6625.56,4002280000,114234369232,bitcoin
7,7,"Sep 29, 2018",6643.1,6643.1,6511.65,6601.96,4363690000,114885697090,bitcoin
8,8,"Sep 28, 2018",6678.75,6785.03,6598.32,6644.13,5014430000,115489513453,bitcoin
9,9,"Sep 27, 2018",6495.29,6712.1,6464.95,6676.75,4606810000,112305283440,bitcoin
10,10,"Sep 26, 2018",6452.79,6585.91,6397.89,6495.0,4437300000,111559240252,bitcoin
11,11,"Sep 25, 2018",6603.64,6603.64,6381.86,6446.47,4726180000,114153287747,bitcoin
12,12,"Sep 24, 2018",6704.77,6713.56,6580.9,6595.41,4177310000,115889159338,bitcoin
13,13,"Sep 23, 2018",6715.32,6766.15,6679.42,6710.63,4197500000,116058736872,bitcoin
14,14,"Sep 22, 2018",6735.05,6814.56,6616.8,6721.98,4509660000,116386818047,bitcoin
15,15,"Sep 21, 2018",6513.87,6794.33,6496.36,6734.95,6531940000,112552829858,bitcoin
16,16,"Sep 20, 2018",6398.85,6529.26,6395.95,6519.67,4348110000,110553109981,bitcoin
17,17,"Sep 19, 2018",6371.85,6448.46,6208.34,6398.54,4431340000,110074137715,bitcoin
18,18,"Sep 18, 2018",6280.91,6384.18,6265.71,6371.3,4180090000,108492112339,bitcoin
19,19,"Sep 17, 2018",6514.06,6540.21,6257.52,6281.2,3910780000,112508446995,bitcoin
20,20,"Sep 16, 2018",6536.68,6544.33,6460.1,6517.18,3273730000,112887643665,bitcoin
21,21,"Sep 15, 2018",6509.4,6561.72,6493.55,6543.2,3216300000,112405369809,bitcoin
22,22,"Sep 14, 2018",6515.41,6596.1,6456.17,6512.71,4076220000,112498115992,bitcoin
23,23,"Sep 13, 2018",6354.24,6535.41,6354.24,6517.31,4210910000,109703600477,bitcoin
24,24,"Sep 12, 2018",6317.01,6363.87,6265.09,6351.8,4064230000,109047547377,bitcoin
25,25,"Sep 11, 2018",6331.88,6398.92,6260.21,6321.2,3849910000,109293238395,bitcoin
26,26,"Sep 10, 2018",6301.57,6374.98,6292.76,6329.7,3714100000,108759350260,bitcoin
27,27,"Sep 09, 2018",6223.38,6446.26,6201.22,6300.86,3671890000,107397286192,bitcoin
28,28,"Sep 08, 2018",6460.17,6534.25,6197.52,6225.98,3835060000,111471362532,bitcoin
29,29,"Sep 07, 2018",6528.92,6555.29,6396.87,6467.07,4264680000,112645200318,bitcoin
0,0,"Oct 06, 2018",0.519354,0.520882,0.470532,0.488082,672167000,20740595570,ripple
1,1,"Oct 05, 2018",0.52753,0.530432,0.51032,0.519026,589636000,21067120535,ripple
2,2,"Oct 04, 2018",0.528892,0.547161,0.52625,0.526606,621615000,21121535015,ripple
3,3,"Oct 03, 2018",0.51722,0.536097,0.512269,0.528162,789229000,20655379543,ripple
4,4,"Oct 02, 2018",0.577145,0.577145,0.5182869999999999,0.520837,743705000,23048516946,ripple
5,5,"Oct 01, 2018",0.583511,0.602337,0.537349,0.576461,1412800000,23265129410,ripple
6,6,"Sep 30, 2018",0.568045,0.6187020000000001,0.564195,0.581572,1329720000,22648482209,ripple
7,7,"Sep 29, 2018",0.539412,0.587431,0.529954,0.571228,1034370000,21506830064,ripple
8,8,"Sep 28, 2018",0.54303,0.548805,0.522197,0.539112,718255000,21651113979,ripple
9,9,"Sep 27, 2018",0.516478,0.550922,0.5139670000000001,0.541381,824083000,20592429897,ripple
10,10,"Sep 26, 2018",0.520288,0.566711,0.4914979999999999,0.516308,1821610000,20744361360,ripple
11,11,"Sep 25, 2018",0.487622,0.546061,0.441519,0.526941,1639680000,19441931263,ripple
12,12,"Sep 24, 2018",0.5706140000000001,0.580377,0.489646,0.494712,1034380000,22715618493,ripple
13,13,"Sep 23, 2018",0.57522,0.595025,0.559651,0.570689,1043970000,22898988896,ripple
14,14,"Sep 22, 2018",0.5654680000000001,0.609112,0.495737,0.5707979999999999,2411430000,22510774201,ripple
15,15,"Sep 21, 2018",0.452836,0.7693800000000001,0.429052,0.561462,4101490000,18026983451,ripple
16,16,"Sep 20, 2018",0.326441,0.477467,0.322347,0.449918,1291360000,12995296506,ripple
17,17,"Sep 19, 2018",0.320324,0.33473400000000003,0.313853,0.32605300000000004,489609000,12751815823,ripple
18,18,"Sep 18, 2018",0.271452,0.33265300000000003,0.27101,0.32186,600216000,10806270795,ripple
19,19,"Sep 17, 2018",0.281545,0.28336100000000003,0.26818400000000003,0.272251,246489000,11208027090,ripple
20,20,"Sep 16, 2018",0.281723,0.281846,0.276549,0.281166,197009000,11215132456,ripple
21,21,"Sep 15, 2018",0.277006,0.283564,0.276765,0.282008,205361000,11027367618,ripple
22,22,"Sep 14, 2018",0.281184,0.284941,0.273855,0.277159,269029000,11166631222,ripple
23,23,"Sep 13, 2018",0.270783,0.284655,0.26784600000000003,0.280583,311799000,10753576243,ripple
24,24,"Sep 12, 2018",0.263166,0.27262600000000003,0.255756,0.270087,298449000,10451083575,ripple
25,25,"Sep 11, 2018",0.270167,0.274917,0.255917,0.26371,200330000,10729099551,ripple
26,26,"Sep 10, 2018",0.280237,0.282113,0.26382,0.270321,204958000,11111435989,ripple
27,27,"Sep 09, 2018",0.278661,0.291261,0.274478,0.27868000000000004,168991000,11048955365,ripple
28,28,"Sep 08, 2018",0.291119,0.296207,0.273789,0.279333,169208000,11542912112,ripple
29,29,"Sep 07, 2018",0.301431,0.305307,0.287287,0.291435,213961000,11951803040,ripple
